"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Italy (IT)","23.06.2015 19:00 - 23.06.2015 20:00 (CET/CEST)","284","n/e","n/e","N/A","5351","1402","195","n/e","n/e","637","643","","7409","1947","n/e","n/e","12646","n/e","720","53","n/e","3119"
"Italy (IT)","23.06.2015 20:00 - 23.06.2015 21:00 (CET/CEST)","298","n/e","n/e","N/A","5606","1440","194","n/e","n/e","637","299","","7302","1823","n/e","n/e","12652","n/e","84","54","n/e","2707"
"Italy (IT)","23.06.2015 21:00 - 23.06.2015 22:00 (CET/CEST)","299","n/e","n/e","N/A","5709","1434","194","n/e","n/e","636","447","","7176","1763","n/e","n/e","12607","n/e","0","55","n/e","2667"
"Italy (IT)","23.06.2015 22:00 - 23.06.2015 23:00 (CET/CEST)","295","n/e","n/e","N/A","5070","1433","194","n/e","n/e","637","278","1","5936","1428","n/e","n/e","12548","n/e","0","56","n/e","2517"
"Italy (IT)","23.06.2015 23:00 - 24.06.2015 00:00 (CET/CEST)","298","n/e","n/e","N/A","4760","1393","195","n/e","n/e","637","121","1","5213","1040","n/e","n/e","11688","n/e","0","55","n/e","2432"
"Italy (IT)","24.06.2015 00:00 - 24.06.2015 01:00 (CET/CEST)","300","n/e","n/e","N/A","4015","1436","70","n/e","n/e","637","143","45","4890","652","n/e","n/e","10107","n/e","0","56","n/e","2632"
"Italy (IT)","24.06.2015 01:00 - 24.06.2015 02:00 (CET/CEST)","299","n/e","n/e","N/A","3576","1413","59","n/e","n/e","637","49","167","4411","586","n/e","n/e","9233","n/e","0","53","n/e","2642"
"Italy (IT)","24.06.2015 02:00 - 24.06.2015 03:00 (CET/CEST)","295","n/e","n/e","N/A","3486","1400","59","n/e","n/e","637","52","281","4084","556","n/e","n/e","8660","n/e","0","57","n/e","2638"
"Italy (IT)","24.06.2015 03:00 - 24.06.2015 04:00 (CET/CEST)","293","n/e","n/e","N/A","3485","1285","59","n/e","n/e","637","52","278","4045","545","n/e","n/e","8269","n/e","0","54","n/e","2561"
"Italy (IT)","24.06.2015 04:00 - 24.06.2015 05:00 (CET/CEST)","297","n/e","n/e","N/A","3558","1226","59","n/e","n/e","633","52","277","4182","609","n/e","n/e","8302","n/e","0","57","n/e","2462"
"Italy (IT)","24.06.2015 05:00 - 24.06.2015 06:00 (CET/CEST)","308","n/e","n/e","N/A","3902","1053","60","n/e","n/e","621","151","1","4265","680","n/e","n/e","8303","n/e","3","54","n/e","2029"
"Italy (IT)","24.06.2015 06:00 - 24.06.2015 07:00 (CET/CEST)","316","n/e","n/e","N/A","4746","906","60","n/e","n/e","625","996","1","5046","857","n/e","n/e","9560","n/e","293","52","n/e","1222"
"Italy (IT)","24.06.2015 07:00 - 24.06.2015 08:00 (CET/CEST)","318","n/e","n/e","N/A","4967","1303","60","n/e","n/e","629","1199","1","5945","1483","n/e","n/e","11738","n/e","1470","52","n/e","783"
"Italy (IT)","24.06.2015 08:00 - 24.06.2015 09:00 (CET/CEST)","305","n/e","n/e","N/A","5582","1465","72","n/e","n/e","629","878","1","6923","1821","n/e","n/e","13058","n/e","3236","53","n/e","565"
"Italy (IT)","24.06.2015 09:00 - 24.06.2015 10:00 (CET/CEST)","305","n/e","n/e","N/A","5392","1467","84","n/e","n/e","632","768","1","7116","1838","n/e","n/e","12762","n/e","5048","51","n/e","704"
"Italy (IT)","24.06.2015 10:00 - 24.06.2015 11:00 (CET/CEST)","306","n/e","n/e","N/A","5105","1394","141","n/e","n/e","641","468","1","6616","1875","n/e","n/e","12061","n/e","6912","53","n/e","1188"
"Italy (IT)","24.06.2015 11:00 - 24.06.2015 12:00 (CET/CEST)","301","n/e","n/e","N/A","4842","1458","182","n/e","n/e","640","418","1","6094","1543","n/e","n/e","11106","n/e","8488","53","n/e","1246"
"Italy (IT)","24.06.2015 12:00 - 24.06.2015 13:00 (CET/CEST)","313","n/e","n/e","N/A","4699","1465","194","n/e","n/e","638","46","1","5337","1234","n/e","n/e","10393","n/e","8825","53","n/e","1033"
"Italy (IT)","24.06.2015 13:00 - 24.06.2015 14:00 (CET/CEST)","307","n/e","n/e","N/A","4509","1464","194","n/e","n/e","635","288","1","5118","1076","n/e","n/e","10008","n/e","9230","55","n/e","1038"
"Italy (IT)","24.06.2015 14:00 - 24.06.2015 15:00 (CET/CEST)","298","n/e","n/e","N/A","4543","1448","194","n/e","n/e","635","361","1","5265","1307","n/e","n/e","10240","n/e","9012","57","n/e","1573"
"Italy (IT)","24.06.2015 15:00 - 24.06.2015 16:00 (CET/CEST)","311","n/e","n/e","N/A","4614","1440","194","n/e","n/e","635","791","26","5647","1407","n/e","n/e","9685","n/e","8056","51","n/e","2312"
"Italy (IT)","24.06.2015 16:00 - 24.06.2015 17:00 (CET/CEST)","297","n/e","n/e","N/A","4974","1392","193","n/e","n/e","633","759","10","5932","1486","n/e","n/e","10108","n/e","7113","55","n/e","2747"
"Italy (IT)","24.06.2015 17:00 - 24.06.2015 18:00 (CET/CEST)","294","n/e","n/e","N/A","5456","1386","194","n/e","n/e","629","570","","6293","1587","n/e","n/e","10608","n/e","4800","57","n/e","2689"
"Italy (IT)","24.06.2015 18:00 - 24.06.2015 19:00 (CET/CEST)","296","n/e","n/e","N/A","5590","1377","198","n/e","n/e","643","568","","6679","1655","n/e","n/e","10778","n/e","2550","57","n/e","2553"
"Italy (IT)","24.06.2015 19:00 - 24.06.2015 20:00 (CET/CEST)","312","n/e","n/e","N/A","6112","1461","194","n/e","n/e","646","333","","7035","1938","n/e","n/e","12186","n/e","767","57","n/e","2095"
"Italy (IT)","24.06.2015 20:00 - 24.06.2015 21:00 (CET/CEST)","317","n/e","n/e","N/A","6183","1478","194","n/e","n/e","639","546","","6794","1613","n/e","n/e","12505","n/e","66","56","n/e","1932"
"Italy (IT)","24.06.2015 21:00 - 24.06.2015 22:00 (CET/CEST)","341","n/e","n/e","N/A","5967","1479","195","n/e","n/e","636","378","","6820","1586","n/e","n/e","12927","n/e","0","54","n/e","1825"
"Italy (IT)","24.06.2015 22:00 - 24.06.2015 23:00 (CET/CEST)","322","n/e","n/e","N/A","5547","1477","194","n/e","n/e","638","215","","5750","1408","n/e","n/e","12761","n/e","0","56","n/e","1886"
