Date,€/MWh
15/01/2017,62.260152
16/01/2017,80.682983
17/01/2017,92.557737
18/01/2017,81.800060
19/01/2017,82.595100
20/01/2017,84.748011
21/01/2017,64.689702
22/01/2017,65.647008
23/01/2017,87.016737
24/01/2017,99.717686
25/01/2017,101.564122
26/01/2017,94.569217
27/01/2017,72.848901
28/01/2017,60.973217
29/01/2017,59.334559
30/01/2017,75.227425
31/01/2017,75.824903
01/02/2017,73.928154
02/02/2017,64.682919
03/02/2017,62.975613
04/02/2017,51.132384
05/02/2017,49.069268
06/02/2017,66.159677
07/02/2017,60.799739
08/02/2017,63.033061
09/02/2017,61.605365
10/02/2017,65.117216
11/02/2017,55.902925
12/02/2017,50.547516
13/02/2017,54.493541
14/02/2017,53.953085
15/02/2017,52.177936
16/02/2017,55.217587
17/02/2017,53.359055
18/02/2017,48.469101
19/02/2017,49.532044
20/02/2017,63.414639
21/02/2017,53.110115
22/02/2017,49.395437
23/02/2017,50.787477
24/02/2017,49.701082
25/02/2017,48.871081
26/02/2017,47.397251
27/02/2017,51.237488
28/02/2017,48.967960
01/03/2017,47.357905
02/03/2017,50.182614
03/03/2017,48.253109
04/03/2017,44.993415
05/03/2017,49.333632
06/03/2017,43.909871
07/03/2017,46.510396
08/03/2017,44.276096
09/03/2017,44.320318
10/03/2017,45.252133
11/03/2017,35.646797
12/03/2017,44.542228
13/03/2017,47.372870
14/03/2017,45.339509
15/03/2017,44.357882
16/03/2017,42.553534
17/03/2017,46.580509
18/03/2017,40.322272
19/03/2017,41.156513
20/03/2017,50.386494
21/03/2017,47.917266
22/03/2017,47.229078
23/03/2017,43.254812
24/03/2017,45.373597
25/03/2017,43.579588
26/03/2017,40.328895
27/03/2017,40.369633
28/03/2017,42.585989
29/03/2017,42.225102
30/03/2017,40.053465
31/03/2017,42.632756
01/04/2017,41.796459
02/04/2017,39.299958
03/04/2017,43.091859
04/04/2017,47.279246
05/04/2017,51.904071
06/04/2017,44.560193
07/04/2017,44.368629
08/04/2017,41.485599
09/04/2017,41.051931
10/04/2017,42.877673
11/04/2017,41.454439
12/04/2017,44.603336
13/04/2017,40.314707
14/04/2017,41.247185
15/04/2017,40.055980
16/04/2017,37.422965
17/04/2017,36.118430
18/04/2017,42.835836
19/04/2017,42.988618
20/04/2017,42.677507
21/04/2017,45.809495
22/04/2017,44.807362
23/04/2017,40.421198
24/04/2017,51.764701
25/04/2017,39.940362
26/04/2017,45.923571
27/04/2017,46.880580
28/04/2017,43.402383
29/04/2017,40.386910
30/04/2017,39.084790
01/05/2017,39.834416
02/05/2017,50.239401
03/05/2017,49.486622
04/05/2017,48.176374
05/05/2017,46.146260
06/05/2017,44.163471
07/05/2017,35.650732
08/05/2017,47.244772
09/05/2017,43.199743
10/05/2017,48.111897
11/05/2017,45.553970
12/05/2017,41.900953
13/05/2017,43.496660
14/05/2017,38.334241
15/05/2017,41.753043
16/05/2017,39.825666
17/05/2017,41.153575
18/05/2017,46.400233
19/05/2017,39.869611
20/05/2017,37.209987
21/05/2017,29.744220
22/05/2017,44.425977
23/05/2017,45.189451
24/05/2017,45.267435
25/05/2017,46.823671
26/05/2017,44.157816
27/05/2017,39.447001
28/05/2017,32.589515
29/05/2017,41.899283
30/05/2017,49.340424
31/05/2017,48.292314
01/06/2017,50.197944
02/06/2017,41.678934
03/06/2017,45.883554
04/06/2017,37.359107
05/06/2017,51.752602
06/06/2017,49.394008
07/06/2017,44.734302
08/06/2017,43.275655
09/06/2017,46.225549
10/06/2017,42.330585
11/06/2017,42.229137
12/06/2017,50.395407
13/06/2017,49.021779
14/06/2017,55.417043
15/06/2017,54.486126
16/06/2017,55.448915
17/06/2017,48.317978
18/06/2017,35.773901
19/06/2017,49.307603
20/06/2017,56.834121
21/06/2017,59.311333
22/06/2017,59.593686
23/06/2017,61.392883
24/06/2017,48.828333
25/06/2017,43.648326
26/06/2017,51.668795
27/06/2017,49.614505
28/06/2017,48.021418
29/06/2017,46.471213
30/06/2017,47.286079
01/07/2017,46.684302
02/07/2017,37.190705
03/07/2017,41.793761
04/07/2017,46.596471
05/07/2017,49.420104
06/07/2017,49.454147
07/07/2017,51.474382
08/07/2017,51.058449
09/07/2017,45.546616
10/07/2017,52.001119
11/07/2017,55.705252
