date,total_res_mw,solar_mw,wind_mw,hydro_mw,biomass_mw,geothermal_mw,is_outlier,year,month,day
2020-06-10,15878.041666666666,2901.6666666666665,3467.8333333333335,8282.375,623.2916666666666,602.875,False,2020,6,10
2020-06-11,14083.791666666666,2610.9583333333335,2624.2083333333335,7593.5,631.4166666666666,623.7083333333334,False,2020,6,11
2020-06-12,13526.875,3585.9583333333335,904.0416666666666,7804.333333333333,627.125,605.4166666666666,False,2020,6,12
2020-06-13,13427.916666666666,3051.0,1958.125,7163.625,639.9583333333334,615.2083333333334,False,2020,6,13
2020-06-14,14423.208333333334,3351.1666666666665,2836.4583333333335,6971.375,646.25,617.9583333333334,False,2020,6,14
2020-06-15,15218.25,2868.3333333333335,2780.3333333333335,8315.833333333334,638.1666666666666,615.5833333333334,False,2020,6,15
2020-06-16,14224.583333333334,2986.4583333333335,1802.75,8209.541666666666,638.875,586.9583333333334,False,2020,6,16
2020-06-17,15320.541666666666,2954.5416666666665,2923.5416666666665,8202.916666666666,623.75,615.7916666666666,False,2020,6,17
2020-06-18,15224.791666666666,3557.7083333333335,2912.0416666666665,7522.5,608.2083333333334,624.3333333333334,False,2020,6,18
2020-06-19,12729.208333333334,2954.0833333333335,1267.8333333333333,7276.708333333333,610.8333333333334,619.75,False,2020,6,19
2020-06-20,14007.333333333334,3799.0416666666665,2642.7083333333335,6320.708333333333,622.2916666666666,622.5833333333334,False,2020,6,20
2020-06-21,13657.125,3467.2916666666665,2785.5416666666665,6155.208333333333,630.375,618.7083333333334,False,2020,6,21
2020-06-22,15733.25,3196.25,4185.791666666667,7106.833333333333,632.125,612.25,False,2020,6,22
2020-06-23,15771.666666666666,3497.875,3929.8333333333335,7176.541666666667,558.0416666666666,609.375,False,2020,6,23
2020-06-24,13717.25,3725.0,1268.1666666666667,7465.125,638.0416666666666,620.9166666666666,False,2020,6,24
2020-06-25,12477.75,3543.1666666666665,396.4583333333333,7266.583333333333,649.7083333333334,621.8333333333334,False,2020,6,25
2020-06-26,12265.958333333334,3635.375,587.7916666666666,6765.125,655.7083333333334,621.9583333333334,False,2020,6,26
2020-06-27,11166.791666666666,3586.25,472.7083333333333,5854.833333333333,629.9583333333334,623.0416666666666,False,2020,6,27
2020-06-28,10957.833333333334,3688.9166666666665,290.1666666666667,5697.583333333333,662.5,618.6666666666666,False,2020,6,28
2020-06-29,12984.083333333334,3625.1666666666665,1495.0833333333333,6629.541666666667,615.125,619.1666666666666,False,2020,6,29
2020-06-30,13235.041666666666,3418.5,1396.6666666666667,7202.916666666667,603.7083333333334,613.25,False,2020,6,30
2020-07-01,12421.375,3334.625,1094.25,6812.166666666667,587.375,592.9583333333334,False,2020,7,1
2020-07-02,12553.125,3351.125,728.7916666666666,7253.5,611.4166666666666,608.2916666666666,False,2020,7,2
2020-07-03,12843.166666666666,3226.5416666666665,1291.375,7061.25,650.5,613.5,False,2020,7,3
2020-07-04,12698.75,3191.125,2172.9166666666665,6033.791666666667,675.9583333333334,624.9583333333334,False,2020,7,4
2020-07-05,14037.125,3597.625,3706.75,5434.416666666667,670.7916666666666,627.5416666666666,False,2020,7,5
2020-07-06,13740.916666666666,3534.9166666666665,2332.5416666666665,6596.291666666667,653.5,623.6666666666666,False,2020,7,6
2020-07-07,14639.916666666666,3646.25,2787.875,6941.041666666667,638.7916666666666,625.9583333333334,False,2020,7,7
